record_a,record_b,confidence_score,match_type,reasons,name_similarity,address_similarity
WS-0012,LEG-002,0.99,high_confidence,same_email;same_name_address;same_phone;similar_address;similar_name,1.0,1.0
WS-0020,LEG-003,0.99,high_confidence,same_email;same_name_address;similar_address;similar_name,1.0,1.0
WS-0028,LEG-004,0.99,high_confidence,same_email;same_phone;similar_address;similar_name,0.93,1.0
WS-0036,LEG-005,0.99,high_confidence,same_email;same_name_address;same_phone;similar_address;similar_name,1.0,1.0
WS-0044,LEG-006,0.99,high_confidence,same_email;same_phone;similar_address;similar_name,0.94,1.0
WS-0052,LEG-007,0.99,high_confidence,same_email;same_name_address;same_phone;similar_address;similar_name,1.0,1.0
WS-0060,LEG-008,0.99,high_confidence,same_email;same_name_address;similar_address;similar_name,1.0,1.0
WS-0068,LEG-009,0.99,high_confidence,same_email;same_name_address;same_phone;similar_address;similar_name,1.0,1.0
WS-0076,LEG-010,0.99,high_confidence,same_email;same_name_address;similar_address;similar_name,1.0,1.0
WS-0084,LEG-011,0.99,high_confidence,same_email;same_phone;similar_address;similar_name,0.97,1.0
WS-0092,LEG-012,0.99,high_confidence,same_name_address;same_phone;similar_address;similar_name,1.0,1.0
WS-0100,LEG-013,0.99,high_confidence,same_email;same_name_address;similar_address;similar_name,1.0,1.0
WS-0108,LEG-014,0.99,high_confidence,same_email;same_name_address;same_phone;similar_address;similar_name,1.0,1.0
WS-0116,LEG-015,0.99,high_confidence,same_email;same_name_address;similar_address;similar_name,1.0,1.0
WS-0124,LEG-016,0.99,high_confidence,same_name_address;same_phone;similar_address;similar_name,1.0,1.0
WS-0132,LEG-017,0.99,high_confidence,same_email;same_name_address;same_phone;similar_address;similar_name,1.0,1.0
WS-0140,LEG-018,0.99,high_confidence,same_email;same_name_address;similar_address;similar_name,1.0,1.0
WS-0148,LEG-019,0.99,high_confidence,same_email;same_name_address;similar_address;similar_name,1.0,1.0
WS-0156,LEG-020,0.99,high_confidence,same_email;same_name_address;same_phone;similar_address;similar_name,1.0,1.0
WS-0164,LEG-021,0.99,high_confidence,same_email;same_phone;similar_address;similar_name,0.97,1.0
WS-0172,LEG-022,0.99,high_confidence,same_email;same_name_address;same_phone;similar_address;similar_name,1.0,1.0
WS-0188,LEG-024,0.99,high_confidence,same_email;same_phone;similar_address;similar_name,0.93,1.0
WS-0196,LEG-025,0.99,high_confidence,same_email;same_name_address;same_phone;similar_address;similar_name,1.0,1.0
WS-0204,LEG-026,0.99,high_confidence,same_email;same_name_address;same_phone;similar_address;similar_name,1.0,1.0
WS-0212,LEG-027,0.99,high_confidence,same_email;same_name_address;same_phone;similar_address;similar_name,1.0,1.0
WS-0220,LEG-028,0.99,high_confidence,same_email;same_name_address;similar_address;similar_name,1.0,1.0
WS-0228,LEG-029,0.99,high_confidence,same_email;same_phone;similar_address;similar_name,0.93,1.0
WS-0236,LEG-030,0.99,high_confidence,same_email;same_name_address;same_phone;similar_address;similar_name,1.0,1.0
WS-0244,LEG-031,0.99,high_confidence,same_email;same_phone;similar_address;similar_name,0.94,1.0
WS-0252,LEG-032,0.99,high_confidence,same_email;same_name_address;same_phone;similar_address;similar_name,1.0,1.0
WS-0260,LEG-033,0.99,high_confidence,same_email;same_name_address;similar_address;similar_name,1.0,1.0
WS-0268,LEG-034,0.99,high_confidence,same_name_address;same_phone;similar_address;similar_name,1.0,1.0
WS-0276,LEG-035,0.99,high_confidence,same_email;same_name_address;same_phone;similar_address;similar_name,1.0,1.0
WS-0284,LEG-036,0.99,high_confidence,same_email;same_phone;similar_address;similar_name,0.97,1.0
WS-0292,LEG-037,0.99,high_confidence,same_email;same_name_address;similar_address;similar_name,1.0,1.0
WS-0300,LEG-038,0.99,high_confidence,same_email;same_name_address;similar_address;similar_name,1.0,1.0
WS-0308,LEG-039,0.99,high_confidence,same_email;same_name_address;same_phone;similar_address;similar_name,1.0,1.0
WS-0316,LEG-040,0.99,high_confidence,same_email;same_name_address;same_phone;similar_address;similar_name,1.0,1.0
WS-0324,LEG-041,0.99,high_confidence,same_email;same_name_address;same_phone;similar_address;similar_name,1.0,1.0
WS-0332,LEG-042,0.99,high_confidence,same_email;same_name_address;same_phone;similar_address;similar_name,1.0,1.0
WS-0340,LEG-043,0.99,high_confidence,same_email;same_name_address;similar_address;similar_name,1.0,1.0
WS-0348,LEG-044,0.99,high_confidence,same_email;same_name_address;similar_address;similar_name,1.0,1.0
WS-0356,LEG-045,0.99,high_confidence,same_name_address;same_phone;similar_address;similar_name,1.0,1.0
WS-0372,LEG-047,0.99,high_confidence,same_name_address;same_phone;similar_address;similar_name,1.0,1.0
WS-0380,LEG-048,0.99,high_confidence,same_email;same_name_address;similar_address;similar_name,1.0,1.0
WS-0388,LEG-049,0.99,high_confidence,same_email;same_phone;similar_address;similar_name,0.93,1.0
WS-0396,LEG-050,0.99,high_confidence,same_email;same_name_address;same_phone;similar_address;similar_name,1.0,1.0
WS-0004,LEG-001,0.9,high_confidence,same_name_address;similar_address;similar_name,1.0,1.0
WS-0180,LEG-023,0.9,high_confidence,same_name_address;similar_address;similar_name,1.0,1.0
WS-0364,LEG-046,0.9,high_confidence,same_email;similar_address;similar_name,0.97,1.0
